location,WMO-index,latitude,longitude,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
VALLADOLID (SPAIN) ,8141,41.38 ,-04.45 ,31/12/2018,23Z,1.6,91%,1035.2 Hpa,330º (NW),1.8,-,-,-,-,-,-,-,-
,,,,31/12/2018,22Z,1.9,87%,1034.8 Hpa,130º (SE),1.8,-,-,-,-,-,-,-,-
,,,,31/12/2018,21Z,2.7,87%,1034.8 Hpa,290º (W),1.8,0/8,-,-,-,-,-,-,Clear
,,,,31/12/2018,20Z,3.8,83%,1034.2 Hpa,110º (E),1.8,-,-,-,-,-,-,-,-
,,,,31/12/2018,19Z,4.9,74%,1033.7 Hpa,80º (E),1.8,-,-,-,-,-,-,-,-
,,,,31/12/2018,18Z,6.6,67%,1032.8 Hpa,210º (SW),7.6,0/8,-,-,-,-,10.3,-,Clear
,,,,31/12/2018,17Z,7.3,67%,1032.3 Hpa,260º (W),1.8,-,-,-,-,-,-,-,-
,,,,31/12/2018,16Z,8.9,58%,1031.8 Hpa,30º (NE),1.8,-,-,-,-,-,-,-,-
,,,,31/12/2018,15Z,10.2,50%,1031.2 Hpa,110º (E),5.4,0/8,-,-,-,-,-,-,Clear
,,,,31/12/2018,14Z,9.4,54%,1031.4 Hpa,100º (E),3.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,13Z,7.7,59%,1032.4 Hpa,70º (E),3.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,12Z,4.4,73%,1034.2 Hpa,10º (N),3.6,0/8,-,-,-,-,-,-,Clear
,,,,31/12/2018,11Z,1.6,78%,1036.0 Hpa,220º (SW),1.8,-,-,-,-,-,-,-,-
,,,,31/12/2018,10Z,0.2,83%,1036.8 Hpa,140º (SE),5.4,-,-,-,-,-,-,-,-
,,,,31/12/2018,09Z,-1.9,92%,1037.5 Hpa,60º (NE),1.8,0/8,-,-,-,-,-,-,Clear
,,,,31/12/2018,08Z,-2.9,94%,1037.3 Hpa,20º (N),1.8,-,-,-,-,-,-,-,-
,,,,31/12/2018,07Z,-2.5,90%,1036.8 Hpa,210º (SW),1.8,-,-,-,-,-,-,-,-
,,,,31/12/2018,06Z,-1.5,88%,1036.2 Hpa,210º (SW),3.6,0/8,-,-,-,-,-,-1.5,Clear
,,,,31/12/2018,05Z,-1.1,84%,1035.5 Hpa,30º (NE),1.8,-,-,-,-,-,-,-,-
,,,,31/12/2018,04Z,-1.0,86%,1036.0 Hpa,60º (NE),1.8,-,-,-,-,-,-,-,-
,,,,31/12/2018,03Z,-0.7,85%,1036.4 Hpa,330º (NW),1.8,0/8,-,-,-,-,-,-,Clear
,,,,31/12/2018,02Z,-0.4,83%,1036.0 Hpa,350º (N),1.8,-,-,-,-,-,-,-,-
,,,,31/12/2018,01Z,0.0,82%,1035.6 Hpa,80º (E),3.6,-,-,-,-,-,-,-,-
,,,,31/12/2018,00Z,0.5,79%,1035.6 Hpa,10º (N),1.8,0/8,-,-,-,-,-,-,Clear
,,,,30/12/2018,23Z,1.4,76%,1035.0 Hpa,10º (N),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,22Z,2.3,78%,1034.5 Hpa,20º (N),1.8,-,-,-,-,-,-,-,-
,,,,30/12/2018,21Z,3.4,77%,1033.9 Hpa,30º (NE),1.8,0/8,-,-,-,-,-,-,Clear
,,,,30/12/2018,20Z,4.6,74%,1033.4 Hpa,340º (N),1.8,-,-,-,-,-,-,-,-
,,,,30/12/2018,19Z,5.9,67%,1032.6 Hpa,340º (N),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,18Z,7.0,63%,1031.9 Hpa,290º (W),5.4,1/8,-,-,CI,-,11.6,-,Few clouds
,,,,30/12/2018,17Z,8.3,60%,1031.1 Hpa,50º (NE),1.8,-,-,-,-,-,-,-,-
,,,,30/12/2018,16Z,10.1,49%,1030.4 Hpa,30º (NE),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,15Z,11.0,46%,1030.0 Hpa,360º (N),3.6,1/8,-,-,CI,-,-,-,Few clouds
,,,,30/12/2018,14Z,10.5,49%,1030.2 Hpa,10º (N),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,13Z,8.4,57%,1031.4 Hpa,20º (N),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,12Z,6.1,64%,1032.9 Hpa,30º (NE),3.6,0/8,-,-,-,-,-,-,Clear
,,,,30/12/2018,11Z,3.7,74%,1034.7 Hpa,360º (N),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,10Z,1.3,85%,1035.7 Hpa,40º (NE),1.8,-,-,-,-,-,-,-,-
,,,,30/12/2018,09Z,-0.5,94%,1036.1 Hpa,20º (N),1.8,0/8,-,-,-,-,-,-,Clear
,,,,30/12/2018,08Z,-1.5,95%,1036.4 Hpa,360º (N),1.8,-,-,-,-,-,-,-,-
,,,,30/12/2018,07Z,-1.1,94%,1035.9 Hpa,360º (N),1.8,-,-,-,-,-,-,-,-
,,,,30/12/2018,06Z,-0.8,95%,1035.0 Hpa,360º (N),3.6,0/8,-,-,-,-,-,-1.0,Clear
,,,,30/12/2018,05Z,-0.5,92%,1034.6 Hpa,350º (N),1.8,-,-,-,-,-,-,-,-
,,,,30/12/2018,04Z,0.6,89%,1034.3 Hpa,350º (N),1.8,-,-,-,-,-,-,-,-
,,,,30/12/2018,03Z,1.2,89%,1034.4 Hpa,350º (N),3.6,0/8,-,-,-,-,-,-,Clear
,,,,30/12/2018,02Z,1.8,87%,1034.1 Hpa,350º (N),5.4,-,-,-,-,-,-,-,-
,,,,30/12/2018,01Z,2.3,87%,1033.7 Hpa,360º (N),3.6,-,-,-,-,-,-,-,-
,,,,30/12/2018,00Z,3.0,86%,1034.2 Hpa,340º (N),5.4,0/8,-,-,-,-,-,-,Clear
,,,,29/12/2018,23Z,3.5,87%,1033.8 Hpa,350º (N),5.4,-,-,-,-,-,-,-,-
,,,,29/12/2018,22Z,3.6,89%,1033.6 Hpa,330º (NW),5.4,-,-,-,-,-,-,-,-
,,,,29/12/2018,21Z,4.6,86%,1033.6 Hpa,360º (N),3.6,0/8,-,-,-,-,-,-,Clear
,,,,29/12/2018,20Z,5.2,83%,1033.5 Hpa,340º (N),5.4,-,-,-,-,-,-,-,-
,,,,29/12/2018,19Z,6.1,82%,1032.6 Hpa,350º (N),3.6,-,-,-,-,-,-,-,-
,,,,29/12/2018,18Z,7.0,76%,1031.8 Hpa,350º (N),3.6,0/8,-,-,-,-,10.7,-,Clear
,,,,29/12/2018,17Z,9.0,67%,1030.7 Hpa,50º (NE),5.4,-,-,-,-,-,-,-,-
,,,,29/12/2018,16Z,10.1,64%,1030.0 Hpa,50º (NE),5.4,-,-,-,-,-,-,-,-
,,,,29/12/2018,15Z,10.5,62%,1029.8 Hpa,30º (NE),5.4,0/8,-,-,-,-,-,-,Clear
,,,,29/12/2018,14Z,10.3,64%,1029.7 Hpa,20º (N),7.6,-,-,-,-,-,-,-,-
,,,,29/12/2018,13Z,9.7,69%,1029.9 Hpa,40º (NE),7.6,-,-,-,-,-,-,-,-
,,,,29/12/2018,12Z,8.7,72%,1031.2 Hpa,40º (NE),7.6,1/8,1/8 CU,-,-,-,-,-,Few clouds
,,,,29/12/2018,11Z,6.2,88%,1032.9 Hpa,20º (N),5.4,-,-,-,-,-,-,-,-
,,,,29/12/2018,10Z,1.9,100%,1034.7 Hpa,140º (SE),1.8,-,-,-,-,-,-,-,-
,,,,29/12/2018,09Z,0.1,100%,1035.2 Hpa,270º (W),1.8,0/8,-,-,-,-,-,-,"Clear, fog"
,,,,29/12/2018,08Z,-0.3,99%,1034.9 Hpa,170º (S),1.8,-,-,-,-,-,-,-,-
,,,,29/12/2018,07Z,0.8,97%,1034.0 Hpa,180º (S),5.4,-,-,-,-,-,-,-,-
,,,,29/12/2018,06Z,3.3,99%,1032.6 Hpa,10º (N),3.6,1/8,1/8 ST,-,-,-,-,1.2,Few clouds
,,,,29/12/2018,05Z,4.0,100%,1032.3 Hpa,360º (N),3.6,-,-,-,-,-,-,-,-
,,,,29/12/2018,04Z,3.5,100%,1033.1 Hpa,350º (N),3.6,-,-,-,-,-,-,-,-
,,,,29/12/2018,03Z,2.2,100%,1034.2 Hpa,360º (N),3.6,2/8,2/8 ST,-,-,-,-,-,"Few clouds, mist"
,,,,29/12/2018,02Z,1.5,100%,1034.1 Hpa,320º (NW),1.8,-,-,-,-,-,-,-,-
,,,,29/12/2018,01Z,2.3,100%,1033.6 Hpa,170º (S),1.8,-,-,-,-,-,-,-,-
,,,,29/12/2018,00Z,2.9,100%,1033.4 Hpa,280º (W),1.8,5/8,5/8 ST,AS,CI,-,-,-,"Cloudy, fog in patches"
,,,,28/12/2018,23Z,3.3,100%,1033.8 Hpa,260º (W),1.8,-,-,-,-,-,-,-,-
,,,,28/12/2018,22Z,3.4,100%,1033.6 Hpa,230º (SW),3.6,-,-,-,-,-,-,-,-
,,,,28/12/2018,21Z,3.3,100%,1033.7 Hpa,170º (S),3.6,N/D,N/A,N/A,N/A,-,-,-,Fog
,,,,28/12/2018,20Z,3.2,100%,1033.7 Hpa,200º (S),3.6,-,-,-,-,-,-,-,-
,,,,28/12/2018,19Z,3.3,99%,1033.7 Hpa,220º (SW),3.6,-,-,-,-,-,-,-,-
,,,,28/12/2018,18Z,3.7,97%,1033.0 Hpa,210º (SW),7.6,N/D,N/A,N/A,N/A,-,8.2,-,Fog
,,,,28/12/2018,17Z,5.4,90%,1032.2 Hpa,180º (S),5.4,-,-,-,-,-,-,-,-
,,,,28/12/2018,16Z,7.1,84%,1031.2 Hpa,180º (S),5.4,-,-,-,-,-,-,-,-
,,,,28/12/2018,15Z,8.2,79%,1030.6 Hpa,100º (E),3.6,5/8,5/8 ST,-,-,-,-,-,Cloudy
,,,,28/12/2018,14Z,6.6,87%,1031.0 Hpa,10º (N),3.6,-,-,-,-,-,-,-,-
,,,,28/12/2018,13Z,4.6,88%,1031.7 Hpa,160º (S),1.8,-,-,-,-,-,-,-,-
,,,,28/12/2018,12Z,2.4,100%,1033.3 Hpa,290º (W),3.6,6/8,6/8 ST,-,-,-,-,-,"Cloudy, fog"
,,,,28/12/2018,11Z,1.1,100%,1034.1 Hpa,290º (W),1.8,-,-,-,-,-,-,-,-
,,,,28/12/2018,10Z,0.2,100%,1034.9 Hpa,330º (NW),3.6,-,-,-,-,-,-,-,-
,,,,28/12/2018,09Z,-0.2,100%,1034.7 Hpa,330º (NW),1.9,N/A , N/A ,N/A,N/A,-,-,-,fog
,,,,28/12/2018,08Z,-0.3,100%,1034.2 Hpa,20º (N),3.6,-,-,-,-,-,-,-,-
,,,,28/12/2018,07Z,-0.3,100%,1033.5 Hpa,80º (E),1.8,-,-,-,-,-,-,-,-
,,,,28/12/2018,06Z,0.2,100%,1032.8 Hpa,330º (NW),5.4,N/D,N/A,N/A,N/A,-,-,0.2,Fog
,,,,28/12/2018,05Z,0.5,100%,1032.0 Hpa,340º (N),1.8,-,-,-,-,-,-,-,-
,,,,28/12/2018,04Z,0.6,100%,1032.5 Hpa,340º (N),3.6,-,-,-,-,-,-,-,-
,,,,28/12/2018,03Z,0.5,100%,1032.7 Hpa,330º (NW),5.4,N/D,N/A,N/A,N/A,-,-,-,Fog
,,,,28/12/2018,02Z,1.3,100%,1032.2 Hpa,30º (NE),3.6,-,-,-,-,-,-,-,-
,,,,28/12/2018,01Z,1.6,100%,1031.7 Hpa,20º (N),1.8,-,-,-,-,-,-,-,-
,,,,28/12/2018,00Z,2.1,100%,1031.5 Hpa,10º (N),1.8,-,-,-,-,-,-,-,-
,,,,27/12/2018,23Z,2.5,100%,1031.3 Hpa,350º (N),1.8,-,-,-,-,-,-,-,-
,,,,27/12/2018,22Z,2.5,100%,1031.2 Hpa,0º (N),0.0,-,-,-,-,-,-,-,-
,,,,27/12/2018,21Z,2.4,100%,1031.3 Hpa,360º (N ),1.9,N/A , N/A ,N/A,N/A,-,-,-,fog
,,,,27/12/2018,20Z,2.6,100%,1030.9 Hpa,30º (NE),1.8,-,-,-,-,-,-,-,-
,,,,27/12/2018,19Z,2.7,100%,1030.8 Hpa,70º (E),1.8,-,-,-,-,-,-,-,-
,,,,27/12/2018,18Z,3.0,100%,1030.4 Hpa,160º (S),1.8,N/D,N/A,N/A,N/A,-,3.2,-,Fog
,,,,27/12/2018,17Z,3.1,100%,1030.2 Hpa,50º (NE),1.8,-,-,-,-,-,-,-,-
,,,,27/12/2018,16Z,3.0,100%,1030.3 Hpa,350º (N),3.6,-,-,-,-,-,-,-,-
,,,,27/12/2018,15Z,2.7,100%,1030.4 Hpa,310º (NW),1.8,N/D,N/A,N/A,N/A,-,-,-,Fog
,,,,27/12/2018,14Z,2.3,100%,1030.3 Hpa,360º (N),3.6,-,-,-,-,-,-,-,-
,,,,27/12/2018,13Z,1.8,100%,1030.6 Hpa,50º (NE),3.6,-,-,-,-,-,-,-,-
,,,,27/12/2018,12Z,1.5,100%,1031.4 Hpa,340º (N),3.6,N/D,N/A,N/A,N/A,-,-,-,Fog
,,,,27/12/2018,11Z,0.7,100%,1032.3 Hpa,360º (N),1.8,-,-,-,-,-,-,-,-
,,,,27/12/2018,10Z,0.3,100%,1033.0 Hpa,290º (W),1.8,-,-,-,-,-,-,-,-
,,,,27/12/2018,09Z,-0.4,100%,1032.9 Hpa,290º (W),1.8,N/D,N/A,N/A,N/A,-,-,-,Fog
,,,,27/12/2018,08Z,-0.4,100%,1032.5 Hpa,330º (NW),3.6,-,-,-,-,-,-,-,-
,,,,27/12/2018,07Z,-0.5,100%,1032.0 Hpa,300º (NW),1.8,-,-,-,-,-,-,-,-
,,,,27/12/2018,06Z,-0.4,100%,1031.8 Hpa,340º (N),3.6,N/D,N/A,N/A,N/A,-,-,-0.4,Fog
,,,,27/12/2018,05Z,0.2,100%,1031.5 Hpa,340º (N),3.6,-,-,-,-,-,-,-,-
,,,,27/12/2018,04Z,0.8,100%,1031.5 Hpa,330º (NW),3.6,-,-,-,-,-,-,-,-
,,,,27/12/2018,03Z,1.0,100%,1031.6 Hpa,320º (NW),1.8,N/D,N/A,N/A,N/A,-,-,-,Fog
,,,,27/12/2018,02Z,1.4,100%,1031.4 Hpa,330º (NW),3.6,-,-,-,-,-,-,-,-
,,,,27/12/2018,01Z,1.6,100%,1031.3 Hpa,340º (N),1.8,-,-,-,-,-,-,-,-
,,,,27/12/2018,00Z,2.0,100%,1031.4 Hpa,300º (NW),1.8,N/D,N/A,N/A,N/A,-,-,-,Fog
,,,,26/12/2018,23Z,2.1,100%,1031.7 Hpa,330º (NW),3.6,-,-,-,-,-,-,-,-
,,,,26/12/2018,22Z,2.4,100%,1031.3 Hpa,350º (N),3.6,-,-,-,-,-,-,-,-
,,,,26/12/2018,21Z,2.6,100%,1031.4 Hpa,330º (NW),5.4,N/D,N/A,N/A,N/A,-,-,-,Fog
