location,WMO-index,latitude,longitude,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
SAN SEBASTIAN/FUENTERRABIA (SPAIN) ,8029,43.21 ,-01.47 ,31/12/2018,18Z,5.6,90%,1034.6 Hpa,40º (NE),3.6,6/8,6/8 ST,-,-,-,7.0,-,"Cloudy, mist"
,,,,31/12/2018,15Z,6.6,88%,1034.3 Hpa,360º (N),9.4,7/8,7/8 ST,-,-,-,-,-,"Cloudy, mist"
,,,,31/12/2018,12Z,6.2,88%,1034.9 Hpa,140º (SE),3.6,8/8,8/8 ST,N/A,N/A,-,-,-,"Overcast, mist"
,,,,31/12/2018,09Z,4.8,90%,1035.6 Hpa,130º (SE),9.4,8/8,8/8 ST,N/A,N/A,-,-,-,"Overcast, mist"
,,,,31/12/2018,06Z,5.4,90%,1034.7 Hpa,160º (S),9.4,7/8,7/8 ST,-,-,-,-,4.0,"Cloudy, mist"
,,,,30/12/2018,18Z,6.6,88%,1035.1 Hpa,220º (SW),3.6,6/8,6/8 ST,N/A,N/A,-,8.4,-,"Cloudy, mist"
,,,,30/12/2018,15Z,8.0,80%,1034.7 Hpa,350º (N),5.4,2/8,2/8 ST,-,-,-,-,-,Few clouds
,,,,30/12/2018,12Z,7.8,80%,1035.5 Hpa,50º (NE),7.6,5/8,5/8 ST,-,-,-,-,-,Cloudy
,,,,30/12/2018,09Z,4.8,90%,1036.7 Hpa,170º (S),3.6,5/8,4/8 ST,-,CI,-,-,-,Cloudy
,,,,30/12/2018,06Z,4.6,93%,1035.4 Hpa,150º (SE),5.4,2/8,2/8 ST,-,-,-,-,4.6,"Few clouds, mist"
,,,,29/12/2018,18Z,9.3,87%,1036.4 Hpa,160º (S),7.6,8/8,8/8 ST,N/A,N/A,-,12.0,-,"Overcast, mist"
,,,,29/12/2018,15Z,10.7,80%,1035.2 Hpa,40º (NE),11.2,4/8,4/8 ST,-,-,-,-,-,Scattered clouds
,,,,29/12/2018,12Z,11.4,77%,1035.3 Hpa,20º (N),9.4,6/8,6/8 SC,-,-,-,-,-,Cloudy
,,,,29/12/2018,09Z,9.3,96%,1035.2 Hpa,0º (N),0.0,6/8,6/8 ST,-,-,-,-,-,"Cloudy, mist"
,,,,29/12/2018,06Z,8.8,97%,1034.2 Hpa,0º (N),0.0,7/8,7/8 ST,N/A,N/A,1.0(24h),-,8.3,"Cloudy, mist"
,,,,28/12/2018,18Z,11.9,94%,1032.6 Hpa,260º (W),3.6,6/8,6/8 CU/ST,N/A,N/A,0.9(12h),12.2,-,Cloudy
,,,,28/12/2018,15Z,12.2,92%,1031.7 Hpa,300º (NW),11.2,8/8,8/8 ST,N/A,N/A,-,-,-,Overcast
,,,,28/12/2018,12Z,10.8,94%,1031.7 Hpa,210º (SW),7.6,8/8,8/8 ST,N/A,N/A,0.1(6h),-,-,"Overcast, drizzle"
,,,,28/12/2018,09Z,9.8,90%,1032.2 Hpa,170º (S),3.6,8/8,8/8 SC,N/A,N/A,-,-,-,"Overcast, drizzle"
,,,,28/12/2018,06Z,10.0,86%,1030.4 Hpa,160º (S),1.8,8/8,8/8 SC,N/A,N/A,-,-,8.4,Overcast
,,,,27/12/2018,18Z,9.8,86%,1028.0 Hpa,240º (SW),1.8,6/8,-,4/8 AC,CS,-,14.0,-,Cloudy
,,,,27/12/2018,15Z,12.8,79%,1027.1 Hpa,30º (NE),9.4,1/8,-,1/8 AC,-,-,-,-,Few clouds
,,,,27/12/2018,12Z,13.4,55%,1027.4 Hpa,160º (S),3.6,1/8,-,-,CI,-,-,-,Few clouds
