location,WMO-index,latitude,longitude,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
SANTIAGO DE COMPOSTELA/LABACOLLA (SPAIN) ,08042,42.53 ,-08.24 ,13/02/2019,23Z,7.5,82%,1028.4 Hpa,190º (S),5.4,-,-,-,-,-,-,-,-
,,,,13/02/2019,22Z,8.9,74%,1028.2 Hpa,180º (S),5.4,-,-,-,-,-,-,-,-
,,,,13/02/2019,21Z,10.3,67%,1028.1 Hpa,160º (S),3.6,0/8,-,-,-,-,-,-,Clear
,,,,13/02/2019,20Z,10.5,59%,1028.0 Hpa,280º (W),7.6,-,-,-,-,-,-,-,-
,,,,13/02/2019,19Z,12.2,54%,1027.8 Hpa,280º (W),7.6,-,-,-,-,-,-,-,-
,,,,13/02/2019,18Z,12.3,61%,1027.5 Hpa,280º (W),5.4,1/8,-,-,CI,-,16.8,-,Few clouds
,,,,13/02/2019,17Z,15.4,51%,1027.0 Hpa,270º (W),3.6,-,-,-,-,-,-,-,-
,,,,13/02/2019,16Z,16.1,47%,1027.0 Hpa,290º (W),3.6,-,-,-,-,-,-,-,-
,,,,13/02/2019,15Z,16.3,50%,1027.2 Hpa,260º (W),3.6,-,-,-,-,-,-,-,-
,,,,13/02/2019,14Z,15.8,46%,1027.6 Hpa,250º (W),9.4,-,-,-,-,-,-,-,-
,,,,13/02/2019,13Z,15.1,46%,1028.3 Hpa,210º (SW),11.2,-,-,-,-,-,-,-,-
,,,,13/02/2019,12Z,14.1,50%,1029.3 Hpa,180º (S),3.6,0/8,-,-,-,-,-,-,Clear
,,,,13/02/2019,11Z,11.8,59%,1029.6 Hpa,180º (S),7.6,-,-,-,-,-,-,-,-
,,,,13/02/2019,10Z,9.9,62%,1029.8 Hpa,160º (S),7.6,-,-,-,-,-,-,-,-
,,,,13/02/2019,09Z,7.8,67%,1030.1 Hpa,170º (S),7.6,0/8,-,-,-,-,-,-,Clear
,,,,13/02/2019,08Z,5.2,75%,1030.2 Hpa,180º (S),9.4,-,-,-,-,-,-,-,-
,,,,13/02/2019,07Z,5.0,78%,1030.0 Hpa,180º (S),9.4,0/8,-,-,-,-,-,-,Clear
,,,,13/02/2019,06Z,5.7,72%,1029.9 Hpa,170º (S),9.4,0/8,-,-,-,-,-,5.0,Clear
,,,,13/02/2019,05Z,5.8,73%,1029.8 Hpa,170º (S),7.6,-,-,-,-,-,-,-,-
,,,,13/02/2019,04Z,6.1,74%,1029.8 Hpa,160º (S),7.6,-,-,-,-,-,-,-,-
,,,,13/02/2019,03Z,6.0,81%,1030.3 Hpa,180º (S),7.6,0/8,-,-,-,-,-,-,Clear
,,,,13/02/2019,02Z,6.6,81%,1030.3 Hpa,160º (S),3.6,-,-,-,-,-,-,-,-
,,,,13/02/2019,01Z,6.6,92%,1030.5 Hpa,170º (S),5.4,-,-,-,-,-,-,-,-
,,,,13/02/2019,00Z,7.0,88%,1030.4 Hpa,170º (S),3.6,0/8,-,-,-,-,-,-,Clear
,,,,12/02/2019,23Z,8.3,81%,1030.3 Hpa,0º (N),0.0,-,-,-,-,-,-,-,-
,,,,12/02/2019,22Z,8.8,75%,1030.3 Hpa,0º (N),0.0,-,-,-,-,-,-,-,-
,,,,12/02/2019,21Z,8.0,78%,1030.7 Hpa,320º (NW),1.8,0/8,-,-,-,-,-,-,Clear
,,,,12/02/2019,20Z,9.3,75%,1030.2 Hpa,300º (NW),5.4,-,-,-,-,-,-,-,-
,,,,12/02/2019,19Z,10.8,65%,1029.8 Hpa,200º (S),1.8,-,-,-,-,-,-,-,-
,,,,12/02/2019,18Z,12.2,70%,1029.3 Hpa,240º (SW),5.4,1/8,-,-,CI,-,17.1,-,Few clouds
,,,,12/02/2019,17Z,15.6,43%,1028.6 Hpa,0º (N),0.0,-,-,-,-,-,-,-,-
,,,,12/02/2019,16Z,16.7,39%,1028.4 Hpa,50º (NE),1.8,-,-,-,-,-,-,-,-
,,,,12/02/2019,15Z,16.3,46%,1028.6 Hpa,80º (E),1.8,1/8,-,-,CS,-,-,-,Few clouds
,,,,12/02/2019,14Z,15.1,48%,1029.3 Hpa,320º (NW),3.6,-,-,-,-,-,-,-,-
,,,,12/02/2019,13Z,14.5,48%,1029.9 Hpa,150º (SE),7.6,-,-,-,-,-,-,-,-
